prompt,path,bucket,kl_contribution,prob_ref,prob_target,prob_shift
20,math/10.txt,top11_100,0.002367,0.0035,0.0232,+0.0197
20,math/10.txt,tail,-0.000001,0.0001,0.0011,+0.0010
21,swe/01.txt,top1,0.158453,0.9268,0.8507,-0.0761
21,swe/01.txt,top2_10,0.046356,0.0717,0.1429,+0.0713
21,swe/01.txt,top11_100,0.000836,0.0014,0.0062,+0.0048
21,swe/01.txt,tail,0.000045,0.0001,0.0002,+0.0001
22,swe/02.txt,top1,0.166501,0.9238,0.8580,-0.0658
22,swe/02.txt,top2_10,0.067245,0.0736,0.1318,+0.0581
22,swe/02.txt,top11_100,0.001537,0.0024,0.0097,+0.0073
22,swe/02.txt,tail,-0.000059,0.0002,0.0005,+0.0004
23,swe/03.txt,top1,0.178588,0.8269,0.7354,-0.0915
23,swe/03.txt,top2_10,0.077302,0.1699,0.2523,+0.0824
23,swe/03.txt,top11_100,0.001578,0.0031,0.0120,+0.0089
23,swe/03.txt,tail,0.000011,0.0001,0.0002,+0.0002
24,swe/04.txt,top1,0.164114,0.8911,0.8145,-0.0766
24,swe/04.txt,top2_10,0.065097,0.1059,0.1720,+0.0662
24,swe/04.txt,top11_100,0.001661,0.0029,0.0127,+0.0097
24,swe/04.txt,tail,0.000000,0.0001,0.0008,+0.0007
25,swe/05.txt,top1,0.199847,0.8246,0.7407,-0.0839
25,swe/05.txt,top2_10,0.109380,0.1693,0.2403,+0.0710
25,swe/05.txt,top11_100,0.003290,0.0060,0.0184,+0.0124
25,swe/05.txt,tail,0.000004,0.0001,0.0005,+0.0004
26,swe/06.txt,top1,0.169173,0.9006,0.8240,-0.0766
26,swe/06.txt,top2_10,0.053812,0.0957,0.1629,+0.0672
26,swe/06.txt,top11_100,0.002594,0.0036,0.0122,+0.0086
26,swe/06.txt,tail,0.000005,0.0001,0.0008,+0.0007
27,swe/07.txt,top1,0.181268,0.9126,0.8350,-0.0776
27,swe/07.txt,top2_10,0.052161,0.0854,0.1559,+0.0705
27,swe/07.txt,top11_100,0.000719,0.0019,0.0088,+0.0069
27,swe/07.txt,tail,0.000000,0.0001,0.0002,+0.0002
28,swe/08.txt,top1,0.267729,0.8180,0.7150,-0.1030
28,swe/08.txt,top2_10,0.120864,0.1771,0.2665,+0.0894
28,swe/08.txt,top11_100,0.002963,0.0047,0.0179,+0.0132
28,swe/08.txt,tail,-0.000015,0.0001,0.0006,+0.0004
29,swe/09.txt,top1,0.160237,0.9032,0.8365,-0.0667
29,swe/09.txt,top2_10,0.061974,0.0934,0.1516,+0.0582
29,swe/09.txt,top11_100,0.002480,0.0033,0.0114,+0.0081
29,swe/09.txt,tail,-0.000010,0.0001,0.0006,+0.0004
30,swe/10.txt,top1,0.204776,0.8946,0.8008,-0.0939
30,swe/10.txt,top2_10,0.058422,0.1020,0.1856,+0.0836
30,swe/10.txt,top11_100,0.001902,0.0032,0.0132,+0.0100
30,swe/10.txt,tail,0.000016,0.0001,0.0004,+0.0003
