prompt,path,bucket,kl_contribution,prob_ref,prob_target,prob_shift
24,swe/04.txt,tail,0.000010,0.0001,0.0002,+0.0000
25,swe/05.txt,top1,0.036973,0.8246,0.8038,-0.0208
25,swe/05.txt,top2_10,0.031614,0.1693,0.1888,+0.0195
25,swe/05.txt,top11_100,0.002475,0.0060,0.0073,+0.0013
25,swe/05.txt,tail,0.000032,0.0001,0.0001,+0.0000
26,swe/06.txt,top1,0.034894,0.9006,0.8848,-0.0158
26,swe/06.txt,top2_10,0.022177,0.0957,0.1103,+0.0146
26,swe/06.txt,top11_100,0.001268,0.0036,0.0048,+0.0012
26,swe/06.txt,tail,0.000019,0.0001,0.0002,+0.0001
27,swe/07.txt,top1,0.035987,0.9126,0.8907,-0.0219
27,swe/07.txt,top2_10,0.013059,0.0854,0.1062,+0.0208
27,swe/07.txt,top11_100,0.000419,0.0019,0.0030,+0.0010
27,swe/07.txt,tail,0.000020,0.0001,0.0001,+0.0000
28,swe/08.txt,top1,0.054733,0.8180,0.7882,-0.0298
28,swe/08.txt,top2_10,0.023476,0.1771,0.2052,+0.0281
28,swe/08.txt,top11_100,0.001023,0.0047,0.0064,+0.0016
28,swe/08.txt,tail,-0.000009,0.0001,0.0002,+0.0001
29,swe/09.txt,top1,0.034784,0.9032,0.8836,-0.0195
29,swe/09.txt,top2_10,0.016588,0.0934,0.1116,+0.0182
29,swe/09.txt,top11_100,0.000996,0.0033,0.0046,+0.0013
29,swe/09.txt,tail,-0.000006,0.0001,0.0002,+0.0001
30,swe/10.txt,top1,0.035858,0.8946,0.8735,-0.0212
30,swe/10.txt,top2_10,0.014935,0.1020,0.1221,+0.0201
30,swe/10.txt,top11_100,0.000993,0.0032,0.0043,+0.0010
30,swe/10.txt,tail,0.000012,0.0001,0.0001,+0.0000
